name,edu_management,edu_department,address,type,level
Mẫu giáo mầm non B,Sở Giáo dục và Đào tạo Hà Nội,,Số 5 Phố Phan Chu Trinh,Công lập,Trường Mầm non
Mẫu giáo Việt Triều Hữu nghị,Sở Giáo dục và Đào tạo Hà Nội,,Khu B tập thể Trung Tự - Đống Đa - Hà Nội,Công lập,Trường Mầm non
TRƯỜNG PTCS XÃ ĐÀN,Sở Giáo dục và Đào tạo Hà Nội,,"100 - 111 ngõ Xã Đàn II, Nam Đồng",Công lập,Trường Mầm non
Trường mầm non thực hành Linh Đàm,Sở Giáo dục và Đào tạo Hà Nội,,,Công lập,Trường Mầm non
NTLMGĐLNgọc Minh- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đô rê mon 3- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Lan- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa sen 1- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa sen 2- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Sen Hasuko- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLĐoremon- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoA Lan- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ánh sao 1- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ánh sao 2- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngôi nhà ngọt ngào- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngọc Minh- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Tuổi thần tiên- VĨNH PHÚC,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Da Lan Hương- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Vầng trăng- PHÚC XA,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đô rê mí 1- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Chim Sâu Baby- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Hoa sữa- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa  sữa 2- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Mầm xanh- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHọa Mi- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL  Táo Hồng- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngôi sao xinh- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đô rê mon GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Khu vườn hạnh phúc- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ong mật- PHÚC XÁ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ánh Dương- ĐIỆN BIÊN,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Thiên Nhiên- ĐIỆN BIÊN,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Hương Lan- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLCông dân toàn cầu- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Ngọc- LIỄU GIÁI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Đôi mắt cười- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Khang Nhi- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Khang Nhi 2- Liễu Giai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Ngôi sao Xanh- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Việt Nhât- LIẾU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Chú voi con- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Hông Ngọc- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Bibi-  ĐỘI CẤN,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Tuổi thơ- ĐỘI CẤN,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Sóc nâu- ĐỘI CẤN,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Phương Ngọc- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Vườn trẻ thơ- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Nắng hồng thần đồng- LIỄU GIAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLMimi house- GIANG VÕ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Anh Mai Sáng -NGỌC KHANH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLMẹ Yêu Con 21/31 NCT-NGỌC KHÁNH ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLMẹ Yêu Con 21/477 Km- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLMẹ Yêu Con Số 6 NCH - NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVành Khuyên-NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVòng Tayn Mẹ- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHà Nội OSAKI- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNgọc Khánh- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNhững Ngôi sao nhỏ- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLLa la la- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Sơn Ca- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Bé tò mò- NGỌC KHÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHạt Vừng- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNgọc Minh- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLÂu Cơ- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNgôi Nhà Xanh- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Bé Hạnh phúc- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLChú Voi Con 1- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLChú Voi Con 3- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLBút Chì Màu- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVạn Phúc- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Nắng Thu- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVườn Cổ Tích- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLBé Ong LG- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLMầm Xanh- CỐNG VỊ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLKết Nối Trẻ Em- THÀNH CÔNG,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLTrí Đức- THÀNH CÔNG,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVườn Hồng- THÀNH CÔNG,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLVườn Hồng 2- THÀNH CÔNG,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLThành Công- THÀNH CÔNG,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNgôi Nhà Hạnh Phúc- TRÚC BẠCH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLCây Nấm Nhỏ- TRÚC BẠCH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Trải nghiệm xanh- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Phượng Đỏ- QUÁN THÁNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLHoa Ban- Kim Mã,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐLNgôi Nhà Trẻ Thơ- KIM MÃ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
NTLMGĐL Sao Khuê- NGỌC HÀ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
Trường mầm non Số 6,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Công lập,Trường Mầm non
Trường mầm non thực hành Hoa Sen Trung ương,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Khu D Giảng Võ - Quận Ba Đình - Thành Nội,Công lập,Trường Mầm non
Trường Mẫu giáo Số 3,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,số 2 phố Phan Huy Ích,Công lập,Trường Mầm non
Trường Mẫu giáo Dân lập Liễu Giai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Nhà A số 6 phố Đội Nhân,Dân lập,Trường Mầm non
Mẫu giáo Mầm non A,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,23 Chu Văn An - phường Điện Biên - quận Ba Đình - Hà Nội,Công lập,Trường Mầm non
Trường Mầm non Thành Công,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"21 Nguyên Hồng , Thành Công, Ba Đình",Công lập,Trường Mầm non
Trường Mầm non Họa Mi,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,G5 TT Thành Công-Ba Đình-Hà Nội,Công lập,Trường Mầm non
Trường Mầm non Hướng Dương,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 120 phố Đào Tấn,Công lập,Trường Mầm non
Trường Mẫu giáo Hoa Hồng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,110 Quán Thánh,Công lập,Trường Mầm non
TRƯỜNG MẦM NON SAO MAI,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 33 Vĩnh Phúc,Công lập,Trường Mầm non
Trường Mầm non Hoa Đào,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 4 Hoàng Diệu - Quán Thánh - Ba Đình - Hà Nội,Công lập,Trường Mầm non
Trường Mầm non Tuổi Hoa,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Khu B   - Phố Trần Huy Liệu - Phường Giảng võ - Ba Đình - Hà Nội,Công lập,Trường Mầm non
Trường Mầm non 1- 6,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,147 Nguyễn Thái Học,Công lập,Trường Mầm non
Trường Mầm non Hoa Mai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,111 Phố Nguyễn Trường Tộ,Công lập,Trường Mầm non
Mầm non Bé O'hana,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,18 Nguyễn Chí Thanh,Tư thục,Trường Mầm non
Trường MNTT  nhà bé Koala,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,50 Vạn Bảo- Ba Đình - Hà Nội,Tư thục,Trường Mầm non
Trường MNTT Tuổi Thần Tiên,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,57 ngách 6/9 phố Vĩnh Phúc,Tư thục,Trường Mầm non
Trường MNTT Miền Đất Trẻ Thơ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,15 Đặng Dung,Tư thục,Trường Mầm non
Trường MNTT  Sao Mai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,4 Vạn Phúc đường Vạn Bảo,Tư thục,Trường Mầm non
Trường MNDL Mặt Trời Bé Thơ Sunrise kidz,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,16 Hàng Than,Dân lập,Trường Mầm non
Trường Mẫu giáo Sơn Ca,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,22 Sơn Tây-Ba Đình -Hà Nội,Công lập,Trường Mầm non
Trường Mẫu giáo Tuổi Thơ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,25 ngõ 477 Kim Mã,Công lập,Trường Mầm non
Trường Mẫu giáo Chim Non,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"Ngõ 82/56 Vạn Phúc Kim Mã, Ba Đình, Hà Nội",Công lập,Trường Mầm non
Trường Mẫu giáo Số 2,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 62 Phó Đức Chính,Công lập,Trường Mầm non
Trường Mẫu giáo Số 5,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"105 ngõ 158 Ngọc Hà, Ba Đình, Hà Nội",Công lập,Trường Mầm non
Trường Mẫu giáo  Số 8,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,123 AN XÁ PHÚC XÁ,Công lập,Trường Mầm non
Trường Mẫu giáo Số 9,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 7 ngõ 379 Đội Cấn - Phường Liễu Giai - Quận Ba Đình,Công lập,Trường Mầm non
Trường Mẫu giáo Số 10,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 21 ngõ 100 Đội Cấn,Công lập,Trường Mầm non
Trường Mẫu giáo Số 7,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Ngõ 660 đường La Thành,Công lập,Trường Mầm non
Trường Mầm Non Tư Thục Bé Anhxtanh,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"Số 11 Lô A khu 25 Láng Hạ và số 20 ngõ 71 Láng Hạ, phường Thành Công, quận Ba Đình, thành phố Hà Nội.",Tư thục,Trường Mầm non
MNTT Vườn Trẻ thơ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,27 ngõ 189 Hoàng Hoa Thám,Tư thục,Trường Mầm non
TRƯỜNG MNTT TRẺ EM VIỆT,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"55-57 ngõ 5 Láng Hạ, Ba Đình, Hà Nội",Tư thục,Trường Mầm non
Quân Đội,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 22 ngách 28/38 Điện Biên Phủ - Ba Đình - Hà Nội,Công lập,Trường Mầm non
MN TT Bé Gấu Teddy,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"Tầng 2, Tòa nhà Hòa Bình Green, số 14, Ngõ 376 Đường Bưởi",Tư thục,Trường Mầm non
TT Thế Giới Xanh,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,"Tầng M, Chung cư Viglacera, 671 Hoàng Hoa Thám",Tư thục,Trường Mầm non
MNTT Ngôi Nhà Sắc Màu,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,Số 19 Ngõ 283 Đội Cấn,Tư thục,Trường Mầm non
85 NTLMGDDL BA ĐÌNH,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
Mầm non tư thục Vinschool Metropolis,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Ba Đình,,Tư thục,Trường Mầm non
Trường Mẫu giáo Quang Trung,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,43 Quang Trung,Công lập,Trường Mầm non
Trường Mẫu giáo Tuổi Thơ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,22 Hàng Buồm,Công lập,Trường Mầm non
Trường Mẫu giáo Măng Non,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 9 Lý Thường Kiệt,Công lập,Trường Mầm non
Trường Mẫu giáo Hoa Hồng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 8 Đường Thành,Công lập,Trường Mầm non
Trường Mẫu giáo Mầm non A,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,88 Thợ Nhuộm,Công lập,Trường Mầm non
Trường Mầm non Sao Mai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,"62 Lý Thường Kiệt, phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",Công lập,Trường Mầm non
Trường Mầm non Tháng Tám,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,3 Nhà Chung,Công lập,Trường Mầm non
Trường Mầm non Đinh Tiên Hoàng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,47 Đinh Tiên Hoàng,Công lập,Trường Mầm non
Trường Mầm non Hoa Sen,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,89 Vọng Hà,Công lập,Trường Mầm non
Trường Mầm non Bình Minh,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 55 Hàng Bông,Công lập,Trường Mầm non
Trường Mầm non Sao Sáng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,44 Trần Hưng Đạo,Công lập,Trường Mầm non
Trường Mầm non Nắng Mai,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,53 - 55 Hàng Giấy,Công lập,Trường Mầm non
Trường Mầm non Bà Triệu,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,65 Phố Bà Triệu,Công lập,Trường Mầm non
Trường Mầm non Hoạ Mi,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,39 Hàng Giấy,Công lập,Trường Mầm non
Trường Mầm non Lý Thường Kiệt,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 57 phố Lý Thường Kiệt,Công lập,Trường Mầm non
Trường Mầm non 1-6,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,42 Hàng Vải,Công lập,Trường Mầm non
Trường Mầm non Tuổi Hoa,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 1 Nguyễn Tư Giản,Công lập,Trường Mầm non
Trường Mầm non Chim Non,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,42 Hàng Tre,Công lập,Trường Mầm non
Trường Mầm non TT Ngôi nhà mơ ước,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,"Số 3, ngõ 30 Lý Nam Đế",Tư thục,Trường Mầm non
Trường mầm non năng khiếu Bé Vui,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,Số 17 Nam Ngư,Tư thục,Trường Mầm non
Trường Mầm non 20-10,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,40 Thợ Nhuộm,Công lập,Trường Mầm non
Mầm Non Tư Thục Hoàn Kiếm,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,,Tư thục,Trường Mầm non
Mầm non Không Gian Tuổi Thơ,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,72B Trần Quốc Toản,Tư thục,Trường Mầm non
Trường Mầm non Thực Nghiệm Mới,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,65a Hai Bà Trưng,Tư thục,Trường Mầm non
Trường Mầm non Tư thục Miền Đất Nữ Hoàng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,,Tư thục,Trường Mầm non
Trường Mầm non Thế Giới Trẻ Em,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Hoàn Kiếm,tầng 3 Tháp Hà Nội số 49 Hai Bà Trưng Phường Trần Hưng Đạo Quận Hoàn Kiếm Hà Nội,Tư thục,Trường Mầm non
Mầm non Tứ Liên,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,"Số 39, ngõ 124, đường Âu Cơ",Công lập,Trường Mầm non
Mầm non Chu Văn An,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,17 - 19 Thụy Khuê - Tây Hồ - Hà Nội,Công lập,Trường Mầm non
Mầm non Quảng an,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,Số 3 ngõ 67 Tô Ngọc Vân,Công lập,Trường Mầm non
Mầm non Xuân La,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,Ngõ 565 Lạc Long Quân - Xuân La - Tây Hồ - Hà Nội,Công lập,Trường Mầm non
Mầm non An Dương,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,75 phố An Dương,Công lập,Trường Mầm non
Mầm non Nhật Tân,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,"Số 31, ngõ 399 - Âu Cơ - Nhật Tân - Tây Hồ - Hà Nội",Công lập,Trường Mầm non
MN Phú Thượng,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,"Số 18 phố Phúc Hoa, phường Phú Thượng, quận Tây Hồ, Hà Nội.",Công lập,Trường Mầm non
Mầm non Bình minh,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,Ngõ 218 Lạc Long Quân,Công lập,Trường Mầm non
MN Hồng Huế,Sở Giáo dục và Đào tạo Hà Nội,Phòng GDĐT Tây Hồ,3Angách 38/23 Xuân La - Tây Hồ - HN,Tư thục,Trường Mầm non
